blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Sumatra Tano Batak,Flight Coffee Co.,"Richly sweet, spice-toned. Mango, clove, lime zest, dark chocolate, fragrant pipe tobacco in aroma and cup. Crisply sweet in structure with bright acidity; lightly creamy mouthfeel. The rich-toned finish leads with notes of lime zest and clove in the short; both mango and pipe tobacco return in the long.","['Fruity', 'Spice', 'Chocolatey', 'Earthy/Herbal']","Bedford, New Hampshire","['Mango', 'Clove', 'Lime', 'Chocolate', 'Tobacco']","Lintong growing region, North Sumatra Province, Indonesia",$17.00/12 ounces,April 2018,Medium-Light,603-836-6228,www.flightcoffeeco.com
Yemen Port of Mokha Al-Durrar,Equator Coffees & Teas,"Intensely rich, sweetly savory. Dried raspberry, aged rum, paprika, pipe tobacco, wisteria-like flowers in aroma and cup. Sweet-savory in structure with gentle acidity; full, velvety mouthfeel. The flavor-saturated finish fulfills the promise of the cup, carrying over each of the distinct fruit, earth, spice and chocolate notes, together with a hint of sweet ferment suggesting aged rum.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","San Rafael, California","['Raspberry', 'Tobacco', 'Chocolate']","Al-Durrar, Sana’a Governorate, Yemen",$30.50/4 ounces,April 2018,Medium-Light,800-809-7687,www.equatorcoffees.com
Finca La Maria Geisha Natural,Bird Rock Coffee Roasters,"Lush, high-toned, richly sweet. Apricot, bergamot zest, nougat, sandalwood, honeysuckle in aroma and cup. Deeply sweet in structure, with juicy, bright acidity; plump, syrupy mouthfeel. The finish is seemingly eternal, resonant with all the flavor notes from the cup: stone fruit, citrus zest, nutty caramel, aromatic wood and sweet florals.","['Fruity', 'Earthy/Herbal', 'Sweet', 'Floral']","San Diego, California","['Apricot', 'Bergamot', 'Nougat', 'Honeysuckle', 'Caramel']","Cundinamarca Department, Colombia",$51.00/8 ounces,April 2018,Medium-Light,858-551-1707,www.birdrockcoffee.com
Ethiopia Guji Gigessa,Roasters Note,"High-toned, deeply sweet. Black currant, honey, sandalwood, narcissus-like flowers, roasted cacao nib in aroma and cup. Sweet-tart in structure with juicy, bright acidity; full, syrupy-smooth mouthfeel. The resonant finish consolidates to notes of black currant and honey in the short, rich cocoa-toned sandalwood in the long.","['Sweet', 'Chocolatey']","Changhua County, Taiwan","['Honey', 'Cacao']","Guji Zone, Oromia Region, south-central Ethiopia",NT $460/8 ounces,April 2018,Light,,
Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting,"Intensely pungent, richly vibrant, deeply sweet, startlingly original. Complex spice (cinnamon, clove, nutmeg), herb (fresh cilantro, parsley), baker’s chocolate, lime zest, sweetly pungent spirits (Brazilian cachaça?) in aroma and cup. Deeply sweet and roundly tart in structure. Full, syrupy mouthfeel. The shifting, layered intrigue in the cup carries far into a long, resonant finish.","['Spice', 'Chocolatey', 'Fruity']","Topeka, Kansas","['Cinnamon', 'Clove', 'Nutmeg', 'Chocolate', 'Lime']","Valle del Cauca growing region, Colombia",$37.50/8 ounces,April 2018,Medium,888-678-5282,www.ptscoffee.com
Gedeb Espresso,JBC Coffee Roasters,"Evaluated as espresso. Layered, complex. Dark chocolate, mango, grapefruit zest, cedar, lily-like flowers in aroma and small cup. Lightly syrupy, lively mouthfeel. Mango, chocolate and a hint of flowers persist in a deeply resonant finish. Crisply lively in three-parts milk: continued chocolate and mango-like fruit, while the floral suggestions hint at butterscotch.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Madison, Wisconsin","['Chocolate', 'Mango', 'Grapefruit', 'Cedar']","Gedeb District, Yirgacheffe growing region, south-central Ethiopia",$18.75/12 ounces,April 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Panama Baru Geisha Honey by Joseph,Kakalove Cafe,"Crisp, sweetly tart. Concord grape, baker’s chocolate, cedar, musk, magnolia in aroma and cup. Balanced, sweet-tart in structure with juicy acidity; full, satiny mouthfeel. The resonant finish leads with fruit and floral tones, rounding to baker’s chocolate in the long.","['Fruity', 'Chocolatey', 'Earthy/Herbal', 'Floral']","Chia-Yi, Taiwan","['Grape', 'Chocolate', 'Cedar', 'Magnolia']","Boquete growing region, western Panama",NT $900/8 ounces,March 2018,Medium-Light,,www.kakalovecafe.com.tw
Panama Baru Geisha Natural by Joseph,Kakalove Cafe,"Delicate, sweetly spice-toned. Peach blossom, hazelnut, pink peppercorn, lime zest, cedar in aroma and cup. Sweet-tart in structure with lively, balanced acidity; plush, syrupy mouthfeel. The finish consolidates to peach blossom and hazelnut in the short, with lime zest and cedar resurfacing in the long.","['Fruity', 'Nutty', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Peach', 'Hazelnut', 'Lime', 'Cedar']","Boquete growing region, western Panama",NT $950/8 ounces,March 2018,Medium-Light,,www.kakalovecafe.com.tw
Burundi Buhorwa,Big Shoulders Coffee,"Elegant, bright, very sweetly pungent. Starfruit, frankincense, lime zest, roasted cacao nib, narcissus in aroma and cup. Richly sweet in structure with balanced, vivacious acidity. Delicate, silky mouthfeel. The floral-toned finish starts and ends with notes of narcissus, punctuated by starfruit, cacao nib and bittersweet citrus suggesting lime zest, all enveloped in perfumy aromatic wood redolent of frankincense.","['Fruity', 'Chocolatey']","Chicago, Illinois","['Lime', 'Cacao']",Northern Burundi,$15.00/12 ounces,March 2018,Medium-Light,312-888-3042,www.bigshoulderscoffee.com
Dodora Double,Barrington Coffee Roasting,"Lush, vibrant; intricate and balanced. Fine musk, dried jasmine, passionfruit, bergamot, dark chocolate in aroma and cup. Complex, richly sweet structure with bright acidity. Buoyant, silky mouthfeel. The resonant finish fulfills the promise of the cup, carrying all of the flavor notes, including a hint of white sage, well into the long.","['Floral', 'Earthy/Herbal', 'Chocolatey']","Lee, Massachusetts","['Jasmine', 'Bergamot', 'Chocolate', 'Sage']","Gedeo Zone, Yirgacheffe growing region, southern EthiopiaGedeo Zone, southern Ethiopia",$9.94/4 ounces,March 2018,Light,800-528-0998,www.barringtoncoffee.com
Summer Night Blend Espresso,Kakalove Cafe,"Evaluated as espresso. Richly floral, chocolate-toned, sweetly tart. Wisteria, dark chocolate, tangerine zest, molasses, dried apricot in aroma and small cup. Viscous, lightly syrupy mouthfeel; crisp, cocoa-toned finish. Very floral in cappuccino-scaled milk: Notes of wisteria and dark chocolate dominate, nuanced by tangerine zest and dried apricot.","['Chocolatey', 'Fruity', 'Sweet']","Chia-Yi, Taiwan","['Chocolate', 'Tangerine', 'Molasses', 'Apricot']",Guatemala; Honduras; Ethiopia,NT $500/16 ounces,March 2018,Medium-Light,,www.kakalovecafe.com.tw
Kenya Kirinyaga,Big Shoulders Coffee,"Intricately layered, deeply and sweetly pungent. Roasted cacao nib, lemon zest, lilac, candied ginger, frankincense in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, syrupy mouthfeel. The complex finish sustains all of the flavor notes from the cup, sweet flowers in particular.","['Chocolatey', 'Fruity', 'Spice']","Chicago, Illinois","['Cacao', 'Lemon', 'Ginger']","Kirinyaga District, south-central Kenya",$15.00/12 ounces,March 2018,Light,312-888-3042,www.bigshoulderscoffee.com
Three Queens Blend,Allegro Coffee,"Juicy, crisp yet lush, original. Jasmine, baker’s chocolate, sandalwood, tangerine zest, dried mango in aroma and cup. Layered and lyric in structure: softly bright, crisply pungent. Light yet lively in mouthfeel. The finish consolidates around the sandalwood and cocoa, but the sweet flowers last, too.","['Floral', 'Chocolatey', 'Fruity']","Thornton, Colorado","['Jasmine', 'Chocolate', 'Tangerine', 'Mango', 'Cocoa']",Ethiopia; Burundi; Kenya,$13.99/12 ounces,March 2018,Medium-Light,800-227-1107,www.allegrocoffee.com
Sumatra Mutu Batak,Klatch Coffee,"Deeply, refreshingly pungent and earthy. Grapefruit zest, dark chocolate, candied ginger, graham cracker, moist fresh-fallen leaves in aroma and cup. Structured around complexly layered tart, sweet and savory tastes; plush, syrupy mouthfeel. Sweet, deeply flavor-saturated finish.","['Fruity', 'Chocolatey', 'Spice']","Los Angeles, California","['Grapefruit', 'Chocolate', 'Ginger']","Lintong growing region, North Sumatra Province, Indonesia",$14.95/12 ounces,March 2018,Medium,877-455-2824,www.klatchroasting.com
Kiniyota Burundi,JBC Coffee Roasters,"Richly sweet, delicately savory. Lilac, chocolate fudge, pomegranate, frankincense, honey in aroma and cup. Balanced, sweetly savory structure with bright, juicy acidity; buoyant, syrupy mouthfeel. The flavor-saturated finish is resonant with notes of lilac and pomegranate in the short and chocolate-toned frankincense in the long.","['Chocolatey', 'Fruity', 'Sweet']","Madison, Wisconsin","['Chocolate', 'Pomegranate', 'Honey']","Buhinyuza District, Muhinga Province, Burundi",$17.60/12 ounces,March 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Kona Mocca®,Hula Daddy Kona Coffee,"Crisp, delicate, yet intense and original. Lush, rose-like flowers, dark chocolate, cedar, almond, ripe pineapple in aroma and cup. Balanced and complete in structure, poised at a round, satisfying intersection of sweet, tart and bitter. Light but syrupy in texture. Layered and resonant in the finish: rose, chocolate, almond all ring on.","['Chocolatey', 'Earthy/Herbal', 'Nutty', 'Fruity', 'Floral']","Holualoa, Hawaii","['Chocolate', 'Cedar', 'Almond', 'Pineapple', 'Rose']","Holualoa, North Kona growing district, “Big Island” of Hawaii",$44.95/8 ounces,February 2018,Medium,888-553-2339,www.huladaddy.com
Ethiopia Suke Quto Honey,Paradise Roasters,"Bright, richly sweet. Lime blossom, raspberry jam, sandalwood, roasted cacao nib, maple syrup in aroma and cup. Sweetly tart in structure with juicy acidity; viscous, buoyant mouthfeel. The finish leads with citrus and berry notes in the short, segueing to sandalwood-framed sweet florals in the long.","['Fruity', 'Chocolatey']","Ramsey, Minnesota","['Lime', 'Raspberry', 'Cacao']","Guji Zone, Oromia Region, south-central Ethiopia",$17.95/12 ounces,February 2018,Medium-Light,763-433-0626,www.paradiseroasters.com
Ethiopia Biftu Gundina Coop Espresso,Kakalove Cafe,"Evaluated as espresso. Rich, deeply roast-toned. Dark-chocolate, ripe pear, scorched sandalwood, tangerine zest, honeysuckle-like flowers in aroma and small cup. Syrupy, plump mouthfeel; resonant finish is dry but alive with aromatics: dark chocolate, sandalwood, hints of flowers and tangerine. Dry but deep, chocolaty and nuanced in three parts milk.","['Fruity', 'Chocolatey']","Chia-Yi, Taiwan","['Pear', 'Tangerine', 'Chocolate']","Agaro District, Jimma Zone, west-central Ethiopia",NT $550/16 ounces,February 2018,Medium-Dark,,www.kakalovecafe.com.tw
Ethiopia Banko Gotiti Natural,Kakalove Cafe,"Deeply and richly sweet; spice-toned. Lavender, mulberry, bay leaf, lemon zest, allspice in aroma and cup. Sweet-toned structure with vibrant acidity; buoyant, silky mouthfeel. The long, resonant finish is laden with spice-toned floral notes and bright berry suggestions.","['Floral', 'Fruity']","Chia-Yi, Taiwan","['Lavender', 'Lemon']","Yirgacheffe growing region, south-central Ethiopia",NT $650/16 ounces,February 2018,Light,,www.kakalovecafe.com.tw
Canoe Blend,Water Avenue Coffee,"Deeply and richly sweet, complex, layered. Apricot, dark chocolate, nut-toned toffee, sandalwood, fresh humus (forest floor).Sweet-savory structure with lively, juicy acidity; velvety-smooth mouthfeel. The flavor-saturated finish is resonant with notes of stone fruit and sandalwood in the short and earth-toned toffee in the long.","['Fruity', 'Chocolatey']","Portland, Oregon","['Apricot', 'Chocolate']",Central America; South America; Indonesia,$14.00/12 ounces,February 2018,Medium-Light,503-808-7083,www.wateravenuecoffee.com
Guatemala Retiro Natural Process,Durango Coffee Company,"Delicate but deeply and quietly intense. Cocoa, peach, fresh-cut fir, brown sugar, a hint of lush, lily-like flowers in aroma and cup. Balanced, crisply sweet in structure; light-footed and lively in mouthfeel. Cocoa dominates in a resonant, flavor-saturated finish.","['Chocolatey', 'Fruity']","Durango, Colorado","['Cocoa', 'Peach']","San Martin Jilotepeque, Chimaltenango Department, central Guatemala",$15.75/12 ounces,February 2018,Medium-Light,800-748-2275,www.durangocoffee.com
Kenya Gatugi AB,Black Coffee in Black Jar,"Deep-toned, richly sweet-savory. Bergamot, butterscotch, red currant, dried hibiscus, almond wood in aroma and cup. Intricate, complex, balanced structure; delicate, silky mouthfeel. The finish, rich, long and deeply sweet, consolidates to bergamot and butterscotch.","['Earthy/Herbal', 'Floral', 'Nutty']","Taichung, Taiwan","['Bergamot', 'Hibiscus', 'Almond']",Kenya Gatugi AB,$35.00/100 grams,January 2018,Medium-Light,,
Gedeb Ethiopia,JBC Coffee Roasters,"Deeply sweet, intensely pungent. Dark chocolate, tangerine zest, star jasmine, maple syrup, frankincense in aroma and cup. Deeply sweet-toned in structure with lively, bright acidity; satiny mouthfeel. The finish is as elegant as the cup implies: flavor-saturated, floral-, chocolate- and fruit-toned in both short and long.","['Chocolatey', 'Fruity', 'Floral']","Madison, Wisconsin","['Chocolate', 'Tangerine', 'Jasmine']","Gedeb District, Gedeo Zone, southern Ethiopia",$18.75/12 ounces,January 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiopia Dry-Processed Guji Mt. Kayon,Black Coffee in Black Jar,"Complex, fruit-forward. Ripe strawberry, dark chocolate, frankincense, pink peppercorn, aged rum in aroma and cup. Bittersweet structure animated by a bright, juicy acidity; delicately lively, smooth mouthfeel. The resonant finish is flavor-saturated, leading with berry notes with a hint of sweet ferment in the short, rounding to spice-toned chocolate in the long.","['Fruity', 'Chocolatey']","Taichung, Taiwan","['Strawberry', 'Chocolate']","Guji Zone, Oromia Region, south-central Ethiopia",$35.00/100 grams,January 2018,Medium-Light,,
Ethiopia Banko Gotiti,Red Rooster Coffee Roaster,"Resonantly fruit-forward, elegant, complex. Honey, dried raspberry, chocolate truffle, aged rum, a hint of marjoram in aroma and cup. Juicy, rich structure with bright, vibrant acidity; full, satiny mouthfeel. A suggestion of sweet marjoram complicates the rich, flavor-saturated finish, which leads with honey and raspberry notes in the short, rounding to chocolate and aged rum in the long.","['Sweet', 'Fruity', 'Chocolatey']","Floyd, Virginia","['Honey', 'Raspberry', 'Chocolate']","Kochere, Yirgacheffe growing region, south-central Ethiopia",$16.99/12 ounces,January 2018,Light,540-745-7338,
Panama Auromar Estate Geisha Peaberry,Bird Rock Coffee Roasters,"Resonantly bright, floral-toned. Jasmine, frankincense, cardamom, toffee, apricot in aroma and cup. Balanced, sweetly tart structure with juicy acidity; crisp, velvety mouthfeel. The deep, flavor-saturated finish leads with caramel-toned apricot in the short, with rich florals resurfacing in the long.","['Floral', 'Fruity']","San Diego, California","['Jasmine', 'Apricot']","Piedra Candela, Chiriqui Province, far western Panama",$51.00/8 ounces,January 2018,Medium-Light,858-551-1707,www.birdrockcoffee.com
Panama Finca Hartmann Geisha Natural,Temple Coffee and Tea,"Delicate, deeply sweet, complexly layered. Passionfruit, roasted cacao nib, frankincense, lilac, almond in aroma and cup. Balanced, sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. The richly cocoa-toned finish is redolent of tropical fruit and fragrant aromatic wood.","['Chocolatey', 'Nutty']","Sacramento, California","['Cacao', 'Almond']","Chiriqui Province, far western Panama",$54.00/8 ounces,January 2018,Light,916-454-1282,www.templecoffee.com
Mini-Me Washed Kaffa Forest,Simon Hsieh’s Aroma Roast Coffees,"Evaluated as espresso. Intensely chocolaty, vivaciously fruit-toned. Dark chocolate, narcissus, pie cherry, molasses, sandalwood in aroma and small cup. Rich, syrupy mouthfeel. A resonant finish leads with cherry and narcissus notes in the short and sandalwood-toned chocolate in the long. In three parts milk, dark chocolate envelopes deeply stated fruit and floral notes.","['Chocolatey', 'Fruity', 'Sweet']","Taoyuan City, Taiwan","['Chocolate', 'Cherry', 'Molasses']","Yirgacheffe growing region, southern Ethiopia",NT $1300/16 ounces,January 2018,Medium-Dark,886-0983-749876,
Jade Espresso,Magnolia Coffee,"Evaluated as espresso. Richly and deeply pungent. Dark chocolate, cedar, orange zest, floral-toned vanilla, fresh pipe tobacco in aroma and small cup. Syrupy but lively mouthfeel; dark chocolate, cedar, orange carry into a resonant finish. The dark chocolate turns crisp and malty in three parts milk.","['Chocolatey', 'Earthy/Herbal', 'Fruity', 'Sweet']","Charlotte, North Carolina","['Chocolate', 'Cedar', 'Orange', 'Vanilla', 'Tobacco']",Brazil and four other origins,$14.00/12 ounces,January 2018,Medium-Light,704-651-7726,www.magnoliacoffeeco.com
